Filled container:
0: It is a flower: name = nkfpqzrdilblq, type = 3
132: It is a tree: name = dbeslnzocprvs, age = 1955972616
133: It is a flower: name = qpilris, type = 2
134: It is a tree: name = dkemxbyjdeekyg, age = 1405447934
135: It is a tree: name = bmyhbq, age = 1037390091
136: It is a tree: name = hnxc, age = 1860753215
137: It is a tree: name = ye, age = 1827159906
138: It is a bush: name = xxtptwqnwnyiulcqtn, flowering month = 2
139: It is a flower: name = d, type = 1
140: It is a bush: name = svhpylrmqrbikqr, flowering month = 9
141: It is a tree: name = bfriwcct, age = 1620279247
142: It is a flower: name = oteilzqmuwemmslik, type = 3
143: It is a bush: name = tthbozoe, flowering month = 12
144: It is a flower: name = ichyvhl, type = 2
145: It is a tree: name = ogeavflhtqjuuymkfshi, age = 1712620159
146: It is a tree: name = yvqdghbumtvvnpuyfb, age = 1132869549
147: It is a bush: name = mkcaraqvxj, flowering month = 5
148: It is a tree: name = eyweppdmsab, age = 1229327066
149: It is a bush: name = mffmjatkqqcnuogqilhp, flowering month = 5
150: It is a flower: name = o, type = 1
151: It is a flower: name = qjkjslvmjkjvqrzbesp, type = 3
152: It is a tree: name = cqozpyysw, age = 1582840993
153: It is a flower: name = n, type = 2
154: It is a bush: name = qs, flowering month = 12
155: It is a tree: name = gqupjhnxsocyysmlv, age = 5352357
156: It is a tree: name = ohasyjscsfy, age = 188565998
157: It is a bush: name = hanoiazceuvb, flowering month = 6
158: It is a flower: name = j, type = 1
159: It is a tree: name = ueupvvldmxkoqiwne, age = 671829101
160: It is a bush: name = uugti, flowering month = 1
161: It is a flower: name = zcegnqj, type = 1
162: It is a flower: name = x, type = 3
163: It is a tree: name = txutlcrdndnntjt, age = 1328658759
164: It is a bush: name = rhhfkjssc, flowering month = 2
165: It is a bush: name = wmsaaawhx, flowering month = 5
166: It is a flower: name = lzieqxeejzplltcn, type = 2
167: It is a bush: name = r, flowering month = 4
168: It is a bush: name = otoa, flowering month = 3
169: It is a bush: name = c, flowering month = 9
170: It is a bush: name = ylp, flowering month = 11
171: It is a bush: name = jeyecfmuzdy, flowering month = 11
172: It is a bush: name = p, flowering month = 6
173: It is a bush: name = zbgybzzqkxb, flowering month = 12
174: It is a flower: name = joih, type = 2
175: It is a tree: name = tvmqhbpawrbs, age = 1206735062
176: It is a tree: name = nvpvvrssuw, age = 334511398
177: It is a tree: name = wlnwpjfgdkehlfumeehc, age = 735462460
178: It is a flower: name = oathbjunkuibdkgbo, type = 2
179: It is a tree: name = f, age = 527575421
180: It is a bush: name = tqybkeuqbslyeq, flowering month = 9
181: It is a bush: name = dndcjiervvmqry, flowering month = 5
182: It is a bush: name = e, flowering month = 12
183: It is a tree: name = prenxchwpwtdpqyn, age = 550171287
184: It is a tree: name = qbjmaddnqyydxmso, age = 9673309
185: It is a flower: name = ucmzcddd, type = 2
186: It is a bush: name = dozcxadkfxhfatoo, flowering month = 12
187: It is a tree: name = vnrjufjmafz, age = 1427490598
188: It is a flower: name = zbesbabmr, type = 2
189: It is a bush: name = jgymttt, flowering month = 9
190: It is a flower: name = ieoaqvytgppoqe, type = 3
191: It is a tree: name = eaepxbjmowoyohby, age = 867446141
192: It is a flower: name = muletqym, type = 3
193: It is a tree: name = mqrlorkxmeyojlisy, age = 667165050
194: It is a flower: name = gbk, type = 2
195: It is a tree: name = nkiesw, age = 716424594
196: It is a flower: name = szwxsbbkbbfdf, type = 2
197: It is a tree: name = rnzs, age = 593939545
198: It is a tree: name = iyy, age = 987036558
199: It is a bush: name = ulmwgykhltumlvapj, flowering month = 2
200: It is a flower: name = mjevlemtbrodnhev, type = 3
201: It is a flower: name = uekwvd, type = 3
202: It is a bush: name = cycgkpflulitbe, flowering month = 4
203: It is a bush: name = iaemuafqjrgsvi, flowering month = 10
204: It is a tree: name = pc, age = 557721933
205: It is a bush: name = meoviflkzeozqlhyutuf, flowering month = 7
206: It is a bush: name = mejrhjvsofqlvt, flowering month = 4
207: It is a flower: name = vnzzexljhktbenbo, type = 3
208: It is a flower: name = jnqevgzqg, type = 1
209: It is a bush: name = oasudgafabax, flowering month = 6
210: It is a flower: name = mi, type = 1
211: It is a flower: name = wqkmehytoyx, type = 2
212: It is a tree: name = ycibuypzbgnljr, age = 1859167575
213: It is a flower: name = toacgxqbgqnlpre, type = 1
214: It is a tree: name = agjoupjumwbmojfmhno, age = 1505198814
215: It is a flower: name = pkcufspufsrzowm, type = 3
216: It is a bush: name = cwodcwvuzedoimmxt, flowering month = 3
217: It is a bush: name = mhanhiuqzogaxjjvzo, flowering month = 8
218: It is a flower: name = pssbtw, type = 2
219: It is a flower: name = kqdwurqqfjl, type = 1
220: It is a flower: name = mbobyxlysljpk, type = 1
221: It is a flower: name = zhrqhwaergpcbzg, type = 2
222: It is a flower: name = jjfeldqadlxsbgvx, type = 3
223: It is a flower: name = nkklw, type = 3
224: It is a bush: name = aqhetyqykxreeyfrt, flowering month = 6
225: It is a flower: name = iyyjadghvnfeemmkru, type = 3
226: It is a flower: name = mvhbcnlivraq, type = 1
227: It is a bush: name = wbpjnjldybtnro, flowering month = 11
228: It is a tree: name = gxxaw, age = 191942639
229: It is a flower: name = wgxijbsnbkp, type = 1
230: It is a tree: name = ajnrqkeyzvnc, age = 105702581
231: It is a tree: name = slqkgpkd, age = 859856491
232: It is a flower: name = utmenrwzvocgsvdrorc, type = 2
233: It is a flower: name = odcylausejthtvghxy, type = 1
234: It is a flower: name = scavqfoqv, type = 3
235: It is a bush: name = nr, flowering month = 6
236: It is a flower: name = gjnospnbt, type = 2
237: It is a bush: name = rzjirdaesjiwamokxw, flowering month = 12
238: It is a flower: name = c, type = 1
239: It is a bush: name = serbisc, flowering month = 2
240: It is a flower: name = banxunqlswyxtizomg, type = 2
241: It is a flower: name = nbkuqsdjsrdziulb, type = 3
242: It is a bush: name = zd, flowering month = 3
243: It is a flower: name = vyd, type = 1
244: It is a tree: name = vejjghsybvqu, age = 790192725
245: It is a bush: name = sesrdxdcefqhtmbwdq, flowering month = 5
246: It is a tree: name = jaevhpyek, age = 1594921777
247: It is a tree: name = vvbt, age = 1102738269
248: It is a flower: name = oxukzlehw, type = 2
249: It is a bush: name = snhnaaxnwxoja, flowering month = 10
250: It is a flower: name = pvhippbhnzpvelsa, type = 1
251: It is a bush: name = bqtlsmxmtji, flowering month = 3
252: It is a bush: name = hnbigsrnapgxip, flowering month = 9
253: It is a bush: name = lvufr, flowering month = 3
254: It is a tree: name = crsqmlwiylujebzc, age = 1180286269
255: It is a bush: name = yspytftwxs, flowering month = 2
256: It is a tree: name = tp, age = 1229571859
257: It is a tree: name = rhha, age = 289635841
258: It is a tree: name = ckwfudlydozcalbu, age = 357280969
259: It is a tree: name = ppl, age = 477605299
260: It is a bush: name = dyvrdtfgxlrridopna, flowering month = 3
261: It is a tree: name = xftqxtiv, age = 168332226
262: It is a flower: name = tv, type = 3
263: It is a tree: name = nwmfjbbtkyff, age = 789506303
264: It is a flower: name = uanhe, type = 2
265: It is a flower: name = wsuvcovu, type = 3
266: It is a tree: name = nbjvaeosa, age = 558265783
267: It is a bush: name = hsdwiwmvwizdlxgqowuv, flowering month = 6
268: It is a tree: name = vnfwskcbsgblmn, age = 279854878
269: It is a flower: name = fxfboqgfustbwifp, type = 3
270: It is a tree: name = vehcn, age = 124390129
271: It is a tree: name = opysjsioo, age = 1263231820
272: It is a bush: name = rrugfgxpqbgm, flowering month = 3
273: It is a flower: name = jowshyy, type = 2
274: It is a flower: name = bqovwykkocu, type = 1
275: It is a flower: name = kbjmxprccgdldsacj, type = 3
276: It is a bush: name = hcdijkwqirmg, flowering month = 1
277: It is a bush: name = wxmuugecuhwgqupj, flowering month = 2
278: It is a flower: name = yxfiy, type = 1
279: It is a tree: name = xmyabrmst, age = 615285716
280: It is a bush: name = smviykryrikrshsxdvmp, flowering month = 8
281: It is a tree: name = fxklopngbupguidlyj, age = 813812915
282: It is a tree: name = vpawncjylupedg, age = 2041908310
283: It is a bush: name = b, flowering month = 7
284: It is a tree: name = zvfrxgnk, age = 1218044500
285: It is a flower: name = wmfanpm, type = 2
286: It is a bush: name = cgkjspcyxczyaqtamog, flowering month = 1
287: It is a bush: name = ekrrnkpt, flowering month = 12
288: It is a flower: name = tgnskwaehf, type = 1
289: It is a flower: name = visb, type = 3
290: It is a flower: name = louddqrietboirsh, type = 2
291: It is a flower: name = ifueeokgkq, type = 1
292: It is a flower: name = bhkirtpcstbvdmyzeaf, type = 1
293: It is a tree: name = mcrntrbxddeovxtlnt, age = 1561824923
294: It is a flower: name = uvpjpjgibmlaraxubn, type = 2
295: It is a tree: name = b, age = 189275385
296: It is a tree: name = olzwiaekbfgxzctae, age = 2033480755
297: It is a bush: name = bgfay, flowering month = 4
298: It is a flower: name = scrqingtosfzenq, type = 1
299: It is a flower: name = uhdtmupizeakgt, type = 1
300: It is a tree: name = wmkpj, age = 1524224854
301: It is a tree: name = gl, age = 858917901
302: It is a tree: name = flntenhcrgmyrrav, age = 248651636
303: It is a flower: name = yobqxschcwpymhpxuwc, type = 1
304: It is a bush: name = utbzed, flowering month = 6
305: It is a flower: name = t, type = 3
306: It is a bush: name = mho, flowering month = 1
307: It is a tree: name = ngd, age = 1809590669
308: It is a flower: name = yybbybixesixgwmapplk, type = 1
309: It is a bush: name = st, flowering month = 3
310: It is a tree: name = xofljxfmptxu, age = 2047900180
311: It is a bush: name = cutzamosnrssfkuuiy, flowering month = 11
312: It is a bush: name = ru, flowering month = 3
313: It is a flower: name = euqffqm, type = 3
314: It is a bush: name = ikgskjwtd, flowering month = 1
315: It is a bush: name = rivgsb, flowering month = 4
316: It is a flower: name = fbtom, type = 1
317: It is a bush: name = nz, flowering month = 3
318: It is a flower: name = v, type = 1
319: It is a bush: name = ukf, flowering month = 3
320: It is a flower: name = m, type = 2
321: It is a tree: name = wp, age = 806027701
322: It is a flower: name = wy, type = 2
323: It is a tree: name = efrugk, age = 1200319540
324: It is a tree: name = wmgnnduttaezn, age = 1710631868
325: It is a bush: name = swtjlrlsj, flowering month = 7
326: It is a flower: name = wcmwesubdefeqkmdzt, type = 1
327: It is a flower: name = qdlzshfnwvgh, type = 3
328: It is a tree: name = yvhmd, age = 1455014051
329: It is a flower: name = kjlhxwhkdaiudwlsch, type = 1
330: It is a bush: name = cvjemxyuzyk, flowering month = 10
331: It is a bush: name = ruahkibuvpy, flowering month = 9
332: It is a bush: name = tlegcbiskzjm, flowering month = 4
333: It is a bush: name = ef, flowering month = 10
334: It is a tree: name = wzb, age = 1720200973
335: It is a bush: name = cybhtekinyedfzntrjoz, flowering month = 3
336: It is a bush: name = sllvv, flowering month = 1
337: It is a tree: name = wkylv, age = 568293071
338: It is a bush: name = ddsyxqu, flowering month = 3
339: It is a tree: name = livf, age = 1830990248
340: It is a tree: name = jbcxljpgeqj, age = 1442125702
341: It is a tree: name = rhnnnrzathxzmrduxhid, age = 363757150
342: It is a flower: name = lrbjhamcypdud, type = 1
343: It is a flower: name = wxwmuqaaqrkxbcnmx, type = 3
344: It is a tree: name = sl, age = 1690527249
345: It is a flower: name = knfeukk, type = 2
346: It is a bush: name = frizevfirr, flowering month = 11
347: It is a bush: name = lso, flowering month = 4
348: It is a tree: name = nueqtbcj, age = 1379301641
349: It is a flower: name = icpthp, type = 1
350: It is a flower: name = typuvsmgu, type = 1
351: It is a flower: name = hksvmkhoxfqontdfpu, type = 1
352: It is a flower: name = sntyjigmgnjrbqsziyuv, type = 1
353: It is a tree: name = pjes, age = 1002366840
354: It is a bush: name = aymtmonuyhjhgxp, flowering month = 10
355: It is a tree: name = qfaszzt, age = 438047988
356: It is a bush: name = bqknsplwu, flowering month = 7
357: It is a tree: name = ssjcn, age = 314123750
358: It is a flower: name = cfwt, type = 3
359: It is a tree: name = jmwop, age = 1829236046
360: It is a bush: name = orormvoqcdzyxunvas, flowering month = 1
361: It is a flower: name = rdacjpwposaqfvmg, type = 2
362: It is a bush: name = kqzszk, flowering month = 3
363: It is a bush: name = nrindjwpyvhpf, flowering month = 5
364: It is a tree: name = stap, age = 1189421447
365: It is a bush: name = en, flowering month = 9
366: It is a tree: name = bdkcsfuxm, age = 342402281
367: It is a flower: name = gxgfztpvdkj, type = 3
368: It is a flower: name = ufvrgsgbfvwvtprocyhx, type = 1
369: It is a bush: name = vkadxflclfns, flowering month = 9
370: It is a bush: name = ccljdxfbltozgwpla, flowering month = 5
371: It is a bush: name = e, flowering month = 12
372: It is a tree: name = sdergdgefbp, age = 1735935451
373: It is a bush: name = cmmmgztybcg, flowering month = 9
374: It is a flower: name = zend, type = 3
375: It is a flower: name = ck, type = 3
376: It is a tree: name = tijfemyywhrm, age = 827574220
377: It is a tree: name = cqsthf, age = 874814709
378: It is a bush: name = btnayjxcnrswxyfqw, flowering month = 2
379: It is a flower: name = c, type = 1
380: It is a flower: name = pzhziwo, type = 3
381: It is a tree: name = lbmyncsnunusbhrawtd, age = 1514945047
382: It is a bush: name = lavrzikyabbhf, flowering month = 11
383: It is a bush: name = xecmjecfspp, flowering month = 4
384: It is a flower: name = sa, type = 2
385: It is a tree: name = namrvwrjygejcatsvaqz, age = 1541720282
386: It is a tree: name = yxeexplkmkyclhrewl, age = 1604181536
387: It is a bush: name = hz, flowering month = 4
388: It is a bush: name = kxuuqutxfokwwhjvglue, flowering month = 2
389: It is a flower: name = xxen, type = 2
390: It is a bush: name = rehirqscf, flowering month = 11
391: It is a bush: name = kvbqu, flowering month = 12
392: It is a flower: name = jdumvlpf, type = 1
393: It is a flower: name = zfthejebnismsd, type = 1
394: It is a bush: name = vnymyflxjjbj, flowering month = 5
395: It is a tree: name = kuwdfzjnvugxohl, age = 276504417
396: It is a flower: name = zbfajye, type = 3
397: It is a tree: name = z, age = 1457665105
398: It is a tree: name = ms, age = 1696935678
399: It is a tree: name = xvxwqlmeiwnmxt, age = 1038739945
400: It is a tree: name = kfqzfpguwmeb, age = 769666254
401: It is a tree: name = clfgiqde, age = 474368554
402: It is a bush: name = xwozrypkfmcrk, flowering month = 3
403: It is a bush: name = hw, flowering month = 9
404: It is a tree: name = cqegritiptsnc, age = 638393688
405: It is a flower: name = nhwteolvvyckgbnpa, type = 1
406: It is a flower: name = ceiamjvwfzsgfdlrtl, type = 2
407: It is a bush: name = rwikcfrmpcan, flowering month = 6
408: It is a flower: name = avuaqmvxwei, type = 1
409: It is a tree: name = hekbdjdzhmcsoabwoag, age = 1435029584
410: It is a tree: name = hgit, age = 1832791890
411: It is a bush: name = wqgzlpnjpkkffvtv, flowering month = 11
412: It is a flower: name = bjpw, type = 2
413: It is a bush: name = fn, flowering month = 12
414: It is a bush: name = tmawkotgvhguldx, flowering month = 10
415: It is a bush: name = tmvodzcvgayl, flowering month = 3
416: It is a tree: name = uabaarutmhak, age = 364267132
417: It is a tree: name = bwxtkrldejdoj, age = 1780909484
418: It is a tree: name = t, age = 576881717
419: It is a flower: name = rdwwpipyoozpwfk, type = 2
420: It is a flower: name = dfflamt, type = 1
421: It is a bush: name = ykatbncmpuynkgjrn, flowering month = 10
422: It is a flower: name = zt, type = 1
423: It is a bush: name = cjltnji, flowering month = 8
424: It is a flower: name = wehvr, type = 1
425: It is a flower: name = ywsmxntosdftw, type = 1
426: It is a tree: name = qgcatibv, age = 2008055924
427: It is a tree: name = yhro, age = 1892070876
428: It is a bush: name = eidwurj, flowering month = 6
429: It is a bush: name = dctqh, flowering month = 9
430: It is a flower: name = psbbswda, type = 2
431: It is a bush: name = jjajtpljvocvsqtrrfqy, flowering month = 2
432: It is a bush: name = lnuulxfizykfyw, flowering month = 5
433: It is a flower: name = f, type = 2
434: It is a flower: name = pekxttiqphirfk, type = 2
435: It is a tree: name = hnsjqnx, age = 388683748
436: It is a bush: name = k, flowering month = 8
437: It is a bush: name = etgoeuzgpk, flowering month = 4
438: It is a bush: name = l, flowering month = 1
439: It is a tree: name = nm, age = 60206231
440: It is a flower: name = wiqsnut, type = 3
441: It is a flower: name = l, type = 3
442: It is a flower: name = hao, type = 3
443: It is a bush: name = tawbm, flowering month = 10
444: It is a tree: name = ybkqierbv, age = 2057260729
445: It is a flower: name = ysvdtavjfdpvitmyvxg, type = 1
446: It is a tree: name = ncohbhrkrambyon, age = 561480891
447: It is a bush: name = gldrok, flowering month = 5
448: It is a tree: name = azsd, age = 585660455
449: It is a bush: name = wcpv, flowering month = 3
450: It is a tree: name = rixiwcto, age = 491005969
451: It is a bush: name = bsrivxiwt, flowering month = 2
452: It is a tree: name = uhntjfgmeqyhl, age = 1943677256
453: It is a flower: name = u, type = 3
454: It is a tree: name = hhj, age = 1789487572
455: It is a bush: name = trpgnktfsqodrmefnrz, flowering month = 11
456: It is a bush: name = tsanu, flowering month = 3
457: It is a flower: name = pofhchzwhyektwes, type = 3
458: It is a bush: name = itnuevbdkbyxrxpieuzo, flowering month = 5
459: It is a tree: name = ubuvkbq, age = 1224472634
460: It is a bush: name = bfqwujnpi, flowering month = 8
461: It is a flower: name = ysjkv, type = 2
462: It is a bush: name = dka, flowering month = 5
463: It is a bush: name = hepxaomu, flowering month = 8
464: It is a flower: name = vltqdztb, type = 1
465: It is a bush: name = nptgkr, flowering month = 9
466: It is a bush: name = zlldy, flowering month = 6
467: It is a bush: name = zvwjuhoyhlz, flowering month = 9
468: It is a bush: name = zwjbhkxprame, flowering month = 10
469: It is a tree: name = msaqdlevkgfmeekcaefu, age = 826318144
470: It is a tree: name = mqesm, age = 964890495
471: It is a flower: name = vfhahhcogyypehhazjwt, type = 1
472: It is a bush: name = q, flowering month = 9
473: It is a tree: name = wdc, age = 651433303
474: It is a flower: name = wjlvnyscyepasi, type = 2
475: It is a bush: name = asaglfua, flowering month = 3
476: It is a bush: name = rs, flowering month = 1
477: It is a tree: name = sgzbtwoklmatgpk, age = 1888890956
478: It is a flower: name = xaxfenxalqiobbqoy, type = 3
479: It is a flower: name = wcacqvvzqrdcu, type = 1
480: It is a tree: name = prykgyy, age = 83705824
481: It is a bush: name = ndvmesdhlrexsxo, flowering month = 3
482: It is a bush: name = geqjqykvkomzsmosq, flowering month = 8
483: It is a flower: name = kkfwokumcfrtwievwq, type = 1
484: It is a bush: name = zdnymyaalaucyrajh, flowering month = 5
485: It is a bush: name = mbovkm, flowering month = 9
486: It is a flower: name = kegorjjhaimamnrdo, type = 2
487: It is a flower: name = etedqjrkoli, type = 3
488: It is a flower: name = hipnrbdgsrdgfgagcyui, type = 3
489: It is a bush: name = cw, flowering month = 4
490: It is a flower: name = nwbgefxrhnmkvbqjls, type = 1
491: It is a tree: name = uz, age = 188482953
492: It is a tree: name = i, age = 305156750
493: It is a bush: name = jsmabjxbvutuas, flowering month = 5
494: It is a flower: name = evkvellkvikh, type = 2
495: It is a bush: name = vjag, flowering month = 5
496: It is a flower: name = qqakelijxpyxyhb, type = 1
497: It is a tree: name = g, age = 1712439423
498: It is a tree: name = sgbfnovgzdb, age = 612129710
499: It is a flower: name = fuszw, type = 3
500: It is a flower: name = fsub, type = 1
501: It is a bush: name = bfs, flowering month = 3
502: It is a bush: name = qvyotwoxkd, flowering month = 12
503: It is a tree: name = sfbyxytskctacwe, age = 1450060737
504: It is a bush: name = k, flowering month = 11
505: It is a bush: name = ezwsanwh, flowering month = 7
506: It is a tree: name = vpfofeadj, age = 1697794290
507: It is a flower: name = gvqcvavpkepryzzocbq, type = 2
508: It is a bush: name = cbinfpjqn, flowering month = 8
509: It is a tree: name = ikvfkzibrlgfjhqgy, age = 2075315381
510: It is a bush: name = ihanrgdkagfnmrlsz, flowering month = 11
511: It is a bush: name = awvgllyvhcorxg, flowering month = 4
512: It is a flower: name = jirgbxaedcczlrb, type = 2
513: It is a tree: name = ense, age = 2039428234
514: It is a flower: name = octflhigiwrgn, type = 2
515: It is a flower: name = gzr, type = 2
516: It is a tree: name = pckmofunoyl, age = 468836010
517: It is a bush: name = govvzjo, flowering month = 6
518: It is a flower: name = ugohygcfhm, type = 2
519: It is a bush: name = lj, flowering month = 8
520: It is a tree: name = flkjbovmstgwyy, age = 1762409810
521: It is a tree: name = pand, age = 44249160
522: It is a bush: name = zod, flowering month = 5
523: It is a bush: name = o, flowering month = 12
524: It is a flower: name = uhhidpxohitthmit, type = 2
525: It is a bush: name = yrfwvahfusyeqdeew, flowering month = 1
526: It is a bush: name = asgorwjcajxdrr, flowering month = 3
527: It is a tree: name = llnmamgjkcrlq, age = 1340504187
528: It is a flower: name = ovjqnhxqsfvtf, type = 3
529: It is a tree: name = keejjwnifstbyl, age = 1772070171
530: It is a bush: name = hmlkw, flowering month = 2
531: It is a bush: name = hulwoavdzjabprqxft, flowering month = 6
532: It is a bush: name = etskivqmmztdzgutcoj, flowering month = 11
533: It is a flower: name = mwoohnoocpsxhanilwxm, type = 1
534: It is a tree: name = qidjslnyrxtuouq, age = 1100391235
535: It is a bush: name = a, flowering month = 10
536: It is a flower: name = cucyttehymk, type = 3
537: It is a flower: name = fmztwnalv, type = 2
538: It is a flower: name = pa, type = 1
